Date,Time,HomeTeam,AwayTeam,FTHG,FTAG
01/03/2024,06:00,Ulsan,Pohang Steelers,1,0
01/03/2024,08:30,Jeonbuk Motors,Daejeon Hana Citizen,1,1
02/03/2024,06:00,Gwangju,Seoul,2,0
02/03/2024,08:30,Incheon United,Suwon,0,1
02/03/2024,08:30,Gangwon,Jeju United,1,1
03/03/2024,06:00,Daegu,Gimcheon Sangmu,0,1
09/03/2024,06:00,Suwon,Jeonbuk Motors,1,1
09/03/2024,08:30,Pohang Steelers,Daegu,3,1
09/03/2024,08:30,Gimcheon Sangmu,Ulsan,2,3
10/03/2024,06:00,Jeju United,Daejeon Hana Citizen,3,1
10/03/2024,08:00,Seoul,Incheon United,0,0
10/03/2024,08:30,Gwangju,Gangwon,4,2
16/03/2024,06:00,Daejeon Hana Citizen,Gangwon,1,1
16/03/2024,08:30,Daegu,Suwon,1,1
16/03/2024,08:30,Seoul,Jeju United,2,0
17/03/2024,06:00,Pohang Steelers,Gwangju,1,0
17/03/2024,06:00,Gimcheon Sangmu,Jeonbuk Motors,1,0
17/03/2024,08:30,Ulsan,Incheon United,3,3
30/03/2024,06:00,Jeonbuk Motors,Ulsan,2,2
30/03/2024,06:00,Incheon United,Daejeon Hana Citizen,2,0
30/03/2024,08:30,Jeju United,Pohang Steelers,0,2
30/03/2024,08:30,Suwon,Gimcheon Sangmu,1,4
31/03/2024,07:00,Gangwon,Seoul,1,1
31/03/2024,09:30,Gwangju,Daegu,1,2
02/04/2024,12:30,Pohang Steelers,Suwon,1,1
02/04/2024,12:30,Daejeon Hana Citizen,Ulsan,2,0
03/04/2024,12:30,Gwangju,Incheon United,2,3
03/04/2024,12:30,Seoul,Gimcheon Sangmu,5,1
03/04/2024,12:30,Jeju United,Jeonbuk Motors,2,0
03/04/2024,12:30,Gangwon,Daegu,3,0
06/04/2024,07:00,Ulsan,Suwon,3,0
06/04/2024,09:30,Incheon United,Jeju United,0,1
06/04/2024,09:30,Gimcheon Sangmu,Gwangju,2,1
07/04/2024,07:00,Jeonbuk Motors,Gangwon,2,3
07/04/2024,07:00,Daegu,Seoul,0,0
07/04/2024,09:30,Daejeon Hana Citizen,Pohang Steelers,1,2
13/04/2024,07:00,Jeonbuk Motors,Gwangju,2,1
13/04/2024,07:00,Seoul,Pohang Steelers,2,4
13/04/2024,09:30,Ulsan,Gangwon,4,0
13/04/2024,09:30,Jeju United,Gimcheon Sangmu,0,2
14/04/2024,07:00,Suwon,Daejeon Hana Citizen,1,0
14/04/2024,09:30,Incheon United,Daegu,1,1
20/04/2024,07:00,Suwon,Jeju United,2,1
20/04/2024,09:30,Pohang Steelers,Gimcheon Sangmu,0,0
20/04/2024,09:30,Seoul,Jeonbuk Motors,2,3
21/04/2024,07:00,Gangwon,Incheon United,4,1
21/04/2024,09:30,Daegu,Daejeon Hana Citizen,0,0
27/04/2024,07:00,Daejeon Hana Citizen,Seoul,3,1
27/04/2024,09:30,Gwangju,Suwon,1,2
27/04/2024,09:30,Gimcheon Sangmu,Gangwon,1,0
28/04/2024,07:00,Pohang Steelers,Incheon United,0,0
28/04/2024,07:00,Jeonbuk Motors,Daegu,2,2
28/04/2024,09:30,Ulsan,Jeju United,3,1
30/04/2024,12:30,Daejeon Hana Citizen,Gimcheon Sangmu,0,0
30/04/2024,12:30,Suwon,Seoul,0,2
01/05/2024,12:00,Daegu,Ulsan,1,2
01/05/2024,12:00,Incheon United,Jeonbuk Motors,3,0
01/05/2024,12:00,Jeju United,Gwangju,1,3
01/05/2024,12:00,Gangwon,Pohang Steelers,2,4
04/05/2024,07:30,Seoul,Ulsan,0,1
04/05/2024,09:30,Pohang Steelers,Jeonbuk Motors,1,0
05/05/2024,07:00,Suwon,Gangwon,1,2
05/05/2024,09:30,Gimcheon Sangmu,Incheon United,2,2
06/05/2024,07:00,Jeju United,Daegu,1,0
06/05/2024,09:30,Gwangju,Daejeon Hana Citizen,2,1
11/05/2024,09:30,Incheon United,Seoul,1,2
11/05/2024,12:00,Daegu,Gwangju,3,2
